Species ID,Species Label,Active Taxa,Source Count,Group,Proteome Strategy,Protein Strategy,Proteome ID,Proteome Label,Proteome IRI,Reviewed Proteins,Unreviewed Proteins,Total Proteins,Errors
24,Shewanella putrefaciens,319224,1,bacterium,uniprot-complete,strong-blast-match,319224,Shewanella putrefaciens CN-32,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A319224,438,3510,3948,
34,Myxococcus xanthus,246197,1,bacterium,metaproteome,strong-blast-match,34,Myxococcus xanthus,http://iedb.org/metaproteome/34,309,7005,7314,
106,Runella slithyformis,761193,1,bacterium,metaproteome,strong-blast-match,106,Runella slithyformis,http://iedb.org/metaproteome/106,0,5750,5750,
108,Spirosoma linguale,108,1,bacterium,metaproteome,strong-blast-match,108,Spirosoma linguale,http://iedb.org/metaproteome/108,3,6864,6867,
139,Borreliella burgdorferi (Lyme disease spirochete),224326; 139; 521007; 498738; 498739; 498740,58,bacterium,metaproteome,strong-blast-match,139,Borreliella burgdorferi (Lyme disease spirochete),http://iedb.org/metaproteome/139,395,901,1296,
158,Treponema denticola,158,1,bacterium,metaproteome,strong-blast-match,158,Treponema denticola,http://iedb.org/metaproteome/158,257,2496,2753,
160,Treponema pallidum,160; 161; 455434; 243276,14,bacterium,metaproteome,strong-blast-match,160,Treponema pallidum,http://iedb.org/metaproteome/160,620,408,1028,
162,Treponema phagedenis,754027,1,bacterium,metaproteome,strong-blast-match,162,Treponema phagedenis,http://iedb.org/metaproteome/162,0,3146,3146,
173,Leptospira interrogans,211882; 173; 189518; 57678; 214675; 44276; 267671,25,bacterium,metaproteome,strong-blast-match,173,Leptospira interrogans,http://iedb.org/metaproteome/173,383,3297,3680,
188,Magnetospirillum magnetotacticum,272627,5,bacterium,uniprot-complete,strong-blast-match,272627,Magnetospirillum magnetotacticum MS-1,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A272627,0,4120,4120,
195,Campylobacter coli,195; 306254,4,bacterium,uniprot-complete,strong-blast-match,864566,Campylobacter coli JV20,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A864566,0,1773,1773,
196,Campylobacter fetus,196; 32019,3,bacterium,metaproteome,strong-blast-match,196,Campylobacter fetus,http://iedb.org/metaproteome/196,235,1480,1715,
197,Campylobacter jejuni,567106; 354242; 482628; 197; 407148; 1347340; 398000; 360112; 1338035; 195099; 192222,117,bacterium,metaproteome,strong-blast-match,197,Campylobacter jejuni,http://iedb.org/metaproteome/197,456,1171,1627,
201,Campylobacter lari,306263,1,bacterium,metaproteome,strong-blast-match,201,Campylobacter lari,http://iedb.org/metaproteome/201,192,1353,1545,
210,Helicobacter pylori,981216; 1352357; 637383; 85962; 85963; 570508; 1337393; 210; 684950; 102617; 992121,179,bacterium,metaproteome,strong-blast-match,210,Helicobacter pylori,http://iedb.org/metaproteome/210,587,975,1562,
214,Helicobacter felis,214,1,bacterium,metaproteome,strong-blast-match,214,Helicobacter felis,http://iedb.org/metaproteome/214,5,1644,1649,
235,Brucella abortus (Brucella melitensis bv. Abortus),520450; 575591; 262698; 235; 430066; 641140; 359391,99,bacterium,metaproteome,strong-blast-match,235,Brucella abortus (Brucella melitensis bv. Abortus),http://iedb.org/metaproteome/235,482,2541,3023,
236,Brucella ovis (Brucella melitensis bv. Ovis),236; 444178,14,bacterium,uniprot-complete,strong-blast-match,444178,Brucella ovis ATCC 25840,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A444178,336,2484,2820,
263,Francisella tularensis,441952; 263; 177416; 376619; 401614; 545422; 119856; 393011; 418136; 458234; 393115; 430556; 351581; 430557,828,bacterium,metaproteome,strong-blast-match,263,Francisella tularensis,http://iedb.org/metaproteome/263,0,1969,1969,
266,Paracoccus denitrificans,266; 318586,3,bacterium,metaproteome,strong-blast-match,266,Paracoccus denitrificans,http://iedb.org/metaproteome/266,321,4698,5019,
271,Thermus aquaticus,271,2,bacterium,uniprot-complete,strong-blast-match,271,Thermus aquaticus,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A271,0,2321,2321,
274,Thermus thermophilus,274; 300852,2,bacterium,metaproteome,strong-blast-match,274,Thermus thermophilus,http://iedb.org/metaproteome/274,401,1826,2227,
280,Xanthobacter autotrophicus,78245; 280,2,bacterium,metaproteome,strong-blast-match,280,Xanthobacter autotrophicus,http://iedb.org/metaproteome/280,235,4736,4971,
287,Pseudomonas aeruginosa,208963; 208964; 983918; 350703; 388272; 350704; 557722; 381754; 287,139,bacterium,metaproteome,strong-blast-match,287,Pseudomonas aeruginosa,http://iedb.org/metaproteome/287,1258,4312,5570,
288,Pseudoalteromonas atlantica,342610,1,bacterium,metaproteome,strong-blast-match,288,Pseudoalteromonas atlantica,http://iedb.org/metaproteome/288,397,3874,4271,
292,Burkholderia cepacia (Burkholderia cepacia genomovar I),292,3,bacterium,uniprot-complete,strong-blast-match,292,Burkholderia cepacia (Burkholderia cepacia genomovar I),http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A292,0,7298,7298,
294,Pseudomonas fluorescens,294,4,bacterium,metaproteome,strong-blast-match,294,Pseudomonas fluorescens,http://iedb.org/metaproteome/294,0,5837,5837,
298,Pseudomonas marginalis,298,1,bacterium,uniprot-complete,strong-blast-match,1198318,Pseudomonas marginalis ICMP 11289,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1198318,0,5301,5301,
300,Pseudomonas mendocina,300; 399739,2,bacterium,metaproteome,strong-blast-match,300,Pseudomonas mendocina,http://iedb.org/metaproteome/300,445,4118,4563,
303,Pseudomonas putida,351746; 76869; 303,20,bacterium,metaproteome,strong-blast-match,303,Pseudomonas putida,http://iedb.org/metaproteome/303,707,4824,5531,
306,Pseudomonas sp.,306,1,bacterium,uniprot-misc,strong-blast-match,306,Pseudomonas sp.,http://www.uniprot.org/uniprot/?query=taxonomy%3A306,30,144,174,
312,Pseudomonas sp. RS-16,312,1,bacterium,uniprot-misc,strong-blast-match,312,Pseudomonas sp. RS-16,http://www.uniprot.org/uniprot/?query=taxonomy%3A312,1,0,1,
316,Pseudomonas stutzeri,316,3,bacterium,metaproteome,strong-blast-match,316,Pseudomonas stutzeri,http://iedb.org/metaproteome/316,384,3708,4092,
354,Azotobacter vinelandii,354; 322710,4,bacterium,metaproteome,strong-blast-match,354,Azotobacter vinelandii,http://iedb.org/metaproteome/354,363,4627,4990,
358,Agrobacterium tumefaciens,358,1,bacterium,metaproteome,strong-blast-match,358,Agrobacterium tumefaciens,http://iedb.org/metaproteome/358,283,6391,6674,
382,Sinorhizobium meliloti,266834; 382,4,bacterium,metaproteome,strong-blast-match,382,Sinorhizobium meliloti,http://iedb.org/metaproteome/382,878,5292,6170,
384,Rhizobium leguminosarum,384,1,bacterium,uniprot-complete,strong-blast-match,395491,Rhizobium leguminosarum bv. trifolii WSM1325,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A395491,3,6985,6988,
446,Legionella pneumophila,866628; 272624; 297245,3,bacterium,metaproteome,strong-blast-match,446,Legionella pneumophila,http://iedb.org/metaproteome/446,386,2544,2930,
450,Legionella longbeachae,661367,1,bacterium,metaproteome,strong-blast-match,450,Legionella longbeachae,http://iedb.org/metaproteome/450,1,3459,3460,
