Species Key	Species ID	Species Label	Active Taxa	Group
24-Shewanella-putrefaciens	24	Shewanella putrefaciens	319224	bacterium
106-Runella-slithyformis	106	Runella slithyformis	761193, 106	bacterium
108-Spirosoma-linguale	108	Spirosoma linguale	108	bacterium
139-Borreliella-burgdorferi-Lyme-disease-spirochete	139	Borreliella burgdorferi (Lyme disease spirochete)	521007, 10001091, 139, 445983, 10000675, 224326, 521009, 445985	bacterium
140-Borrelia-hermsii	140	Borrelia hermsii	140	bacterium
158-Treponema-denticola	158	Treponema denticola	158	bacterium
160-Treponema-pallidum	160	Treponema pallidum	10001021, 243276, 160	bacterium
162-Treponema-phagedenis	162	Treponema phagedenis	754027	bacterium
173-Leptospira-interrogans	173	Leptospira interrogans	44275, 173, 57678, 1279460, 44276, 211882, 10000814, 267671, 189518	bacterium
174-Leptospira-borgpetersenii	174	Leptospira borgpetersenii	280504, 338220	bacterium
188-Magnetospirillum-magnetotacticum	188	Magnetospirillum magnetotacticum	272627	bacterium
195-Campylobacter-coli	195	Campylobacter coli	195, 306254	bacterium
196-Campylobacter-fetus	196	Campylobacter fetus	32019	bacterium
197-Campylobacter-jejuni	197	Campylobacter jejuni	482628, 360112, 398000, 354242, 407148, 32022, 10002003, 197, 195099, 10000679, 192222, 567106	bacterium
199-Campylobacter-concisus	199	Campylobacter concisus	199	bacterium
200-Campylobacter-curvus	200	Campylobacter curvus	200	bacterium
201-Campylobacter-lari	201	Campylobacter lari	306263	bacterium
203-Campylobacter-rectus	203	Campylobacter rectus	203	bacterium
210-Helicobacter-pylori	210	Helicobacter pylori	1352357, 102617, 10001667, 1337393, 992121, 10001794, 10000720, 10000718, 637383, 102618, 85963, 85962, 210, 290847, 563041, 866344, 10000721	bacterium
235-Brucella-abortus-Brucella-melitensis-bv-Abortus	235	Brucella abortus (Brucella melitensis bv. Abortus)	262698, 359391, 430066, 520450, 641140, 575591, 235, 10001424	bacterium
236-Brucella-ovis-Brucella-melitensis-bv-Ovis	236	Brucella ovis (Brucella melitensis bv. Ovis)	10001886, 10001888, 444178, 236, 10001887	bacterium
263-Francisella-tularensis	263	Francisella tularensis	263, 351581, 119856, 376619, 430557, 458234, 393115, 393011, 177416, 418136	bacterium
266-Paracoccus-denitrificans	266	Paracoccus denitrificans	266, 318586	bacterium
271-Thermus-aquaticus	271	Thermus aquaticus	271	bacterium
274-Thermus-thermophilus	274	Thermus thermophilus	262724, 274, 300852	bacterium
280-Xanthobacter-autotrophicus	280	Xanthobacter autotrophicus	280, 78245	bacterium
287-Pseudomonas-aeruginosa	287	Pseudomonas aeruginosa	287, 10000815, 10000818, 10000817, 208963, 10000723, 10000822, 208964, 350704, 1009714, 350703, 388272, 10001058, 10001519, 10001057	bacterium
292-Burkholderia-cepacia-Burkholderia-cepacia-genomovar-I	292	Burkholderia cepacia (Burkholderia cepacia genomovar I)	292	bacterium
294-Pseudomonas-fluorescens	294	Pseudomonas fluorescens	294	bacterium
298-Pseudomonas-marginalis	298	Pseudomonas marginalis	298	bacterium
300-Pseudomonas-mendocina	300	Pseudomonas mendocina	300	bacterium
303-Pseudomonas-putida	303	Pseudomonas putida	303, 351746	bacterium
306-Pseudomonas-sp	306	Pseudomonas sp.	306	bacterium
312-Pseudomonas-sp-RS-16	312	Pseudomonas sp. RS-16	312	bacterium
316-Stutzerimonas-stutzeri	316	Stutzerimonas stutzeri	316	bacterium
317-Pseudomonas-syringae	317	Pseudomonas syringae	10001690, 192087, 10001689, 10001688	bacterium
346-Xanthomonas-citri	346	Xanthomonas citri	346	bacterium
354-Azotobacter-vinelandii	354	Azotobacter vinelandii	322710, 354	bacterium
358-Agrobacterium-tumefaciens	358	Agrobacterium tumefaciens	358	bacterium
382-Sinorhizobium-meliloti	382	Sinorhizobium meliloti	382, 266834	bacterium
384-Rhizobium-leguminosarum	384	Rhizobium leguminosarum	384	bacterium
446-Legionella-pneumophila	446	Legionella pneumophila	446, 272624, 66976	bacterium
450-Legionella-longbeachae	450	Legionella longbeachae	661367	bacterium
470-Acinetobacter-baumannii	470	Acinetobacter baumannii	470, 509173, 400667	bacterium
471-Acinetobacter-calcoaceticus	471	Acinetobacter calcoaceticus	471	bacterium
480-Moraxella-catarrhalis	480	Moraxella catarrhalis	480, 10001556, 10001851, 857571, 10001831, 10001849	bacterium
485-Neisseria-gonorrhoeae	485	Neisseria gonorrhoeae	10001077, 528354, 485, 10001558, 10001078, 10000863, 242231	bacterium
487-Neisseria-meningitidis	487	Neisseria meningitidis	10001524, 1172206, 135720, 909420, 10001162, 491, 10000972, 272831, 487, 648194, 65699, 10001051, 10000979, 10000843, 122586, 10001604, 10001003, 10001050, 10001161, 10001713, 10001049, 10001044, 10001560, 10001860, 10001783, 10001797	bacterium
502-Kingella-denitrificans	502	Kingella denitrificans	502	bacterium
511-Alcaligenes-faecalis	511	Alcaligenes faecalis	511	bacterium
520-Bordetella-pertussis	520	Bordetella pertussis	10002069, 257313, 520, 10002422	bacterium
521-Bordetella-avium	521	Bordetella avium	521	bacterium
524-Acidiphilium-cryptum-Acidiphilum-cryptum	524	Acidiphilium cryptum (Acidiphilum cryptum)	524, 349163	bacterium
539-Eikenella-corrodens	539	Eikenella corrodens	539	bacterium
546-Citrobacter-freundii	546	Citrobacter freundii	546	bacterium
548-Klebsiella-aerogenes	548	Klebsiella aerogenes	548	bacterium
550-Enterobacter-cloacae	550	Enterobacter cloacae	336306, 550	bacterium
554-Pectobacterium-carotovorum	554	Pectobacterium carotovorum	561230, 554	bacterium
556-Dickeya-chrysanthemi	556	Dickeya chrysanthemi	556	bacterium
562-Escherichia-coli	562	Escherichia coli	344601, 439184, 679206, 244320, 340185, 316385, 340197, 478005, 478006, 217992, 364106, 340186, 10000728, 1302237, 331111, 10002022, 10001528, 216592, 331112, 1197131, 10002127, 83334, 10000733, 362663, 562, 199310, 1432555, 525281, 1392869, 10000727, 10001633, 405955, 10000734, 358709, 83333, 511145, 37762, 10001659, 155864, 1045010, 585034, 316407, 478008, 10001145, 344610, 481805, 168807, 10001502, 386585, 340184, 316401	bacterium
573-Klebsiella-pneumoniae	573	Klebsiella pneumoniae	573, 272620, 484021	bacterium
582-Morganella-morganii	582	Morganella morganii	582	bacterium
584-Proteus-mirabilis	584	Proteus mirabilis	529507, 10001500, 584, 10001006, 10001498, 10001491, 10001490, 10001499	bacterium
585-Proteus-vulgaris	585	Proteus vulgaris	10001489	bacterium
588-Providencia-stuartii	588	Providencia stuartii	10001514, 10001588	bacterium
599-Salmonella-sp	599	Salmonella sp.	599	bacterium
615-Serratia-marcescens	615	Serratia marcescens	615	bacterium
621-Shigella-boydii	621	Shigella boydii	344609, 300268, 621	bacterium
622-Shigella-dysenteriae-Escherichia_Shigella-dysenteriae	622	Shigella dysenteriae (Escherichia/Shigella dysenteriae)	10000749, 622, 10000748, 300267	bacterium
623-Shigella-flexneri-Escherichia-flexneri	623	Shigella flexneri (Escherichia flexneri)	10000752, 42897, 766147, 1288825, 424720, 766154, 198214, 424717, 623, 591020, 198215, 424718, 373384, 10000754	bacterium
624-Shigella-sonnei	624	Shigella sonnei	624, 300269	bacterium
630-Yersinia-enterocolitica	630	Yersinia enterocolitica	393305, 630, 34054, 913028	bacterium
632-Yersinia-pestis	632	Yersinia pestis	412420, 386656, 373665, 187410, 360102, 10000756, 375450, 349746, 377628, 214092, 10000757, 632	bacterium
633-Yersinia-pseudotuberculosis	633	Yersinia pseudotuberculosis	10001895, 349747, 633, 273123	bacterium
634-Yersinia-bercovieri	634	Yersinia bercovieri	349968	bacterium
636-Edwardsiella-tarda	636	Edwardsiella tarda	636	bacterium
644-Aeromonas-hydrophila	644	Aeromonas hydrophila	644	bacterium
645-Aeromonas-salmonicida	645	Aeromonas salmonicida	645, 29491	bacterium
659-Photobacterium-phosphoreum	659	Photobacterium phosphoreum	659	bacterium
661-Photobacterium-angustum	661	Photobacterium angustum	314292	bacterium
663-Vibrio-alginolyticus	663	Vibrio alginolyticus	314288	bacterium
666-Vibrio-cholerae	666	Vibrio cholerae	243277, 686, 345076, 345072, 417398, 666, 417399, 412614, 127906, 412883, 412967, 345075, 592313, 412966, 10000568, 417400, 10000567, 345073, 44104, 345074, 45888, 404974	bacterium
670-Vibrio-parahaemolyticus	670	Vibrio parahaemolyticus	223926, 419109, 670, 563773, 627611	bacterium
671-Vibrio-proteolyticus	671	Vibrio proteolyticus	671	bacterium
672-Vibrio-vulnificus	672	Vibrio vulnificus	672, 10002557, 216895, 196600, 914127	bacterium
674-Vibrio-mimicus	674	Vibrio mimicus	674	bacterium
703-Plesiomonas-shigelloides	703	Plesiomonas shigelloides	703	bacterium
714-Aggregatibacter-actinomycetemcomitans	714	Aggregatibacter actinomycetemcomitans	714, 10001628	bacterium
715-Actinobacillus-pleuropneumoniae	715	Actinobacillus pleuropneumoniae	715, 209841, 228399	bacterium
727-Haemophilus-influenzae	727	Haemophilus influenzae	71421, 374928, 10001053, 10001150, 374932, 10000860, 10001042, 262727, 10001055, 10001149, 281310, 10001155, 374931, 10000861, 10001056, 10001520, 375432, 521005, 262728, 374927, 727, 10000833, 521004, 374933, 375177, 10000807, 10001523	bacterium
730-Haemophilus-ducreyi	730	Haemophilus ducreyi	730, 233412	bacterium
731-Histophilus-somni	731	Histophilus somni	228400, 731, 205914	bacterium
738-Glaesserella-parasuis	738	Glaesserella parasuis	738, 557723, 1117322	bacterium
747-Pasteurella-multocida	747	Pasteurella multocida	10000759, 272843, 747	bacterium
769-Anaplasma-centrale	769	Anaplasma centrale	769, 574556	bacterium
770-Anaplasma-marginale	770	Anaplasma marginale	770, 320483, 10000760, 234826	bacterium
774-Bartonella-bacilliformis	774	Bartonella bacilliformis	774, 360095	bacterium
777-Coxiella-burnetii	777	Coxiella burnetii	360117, 227377, 434922, 360116, 777, 434924, 434923, 360115	bacterium
779-Ehrlichia-ruminantium-heartwater-rickettsia	779	Ehrlichia ruminantium (heartwater rickettsia)	254945, 779	bacterium
781-Rickettsia-conorii	781	Rickettsia conorii	781, 272944	bacterium
782-Rickettsia-prowazekii	782	Rickettsia prowazekii	272947, 782	bacterium
783-Rickettsia-rickettsii	783	Rickettsia rickettsii	452659, 392021, 1105104, 783	bacterium
784-Orientia-tsutsugamushi	784	Orientia tsutsugamushi	784, 10000761, 357244, 334380	bacterium
785-Rickettsia-typhi	785	Rickettsia typhi	257363, 785	bacterium
786-Rickettsia-akari-agent-of-rickettsialpox	786	Rickettsia akari (agent of rickettsialpox)	293614	bacterium
787-Rickettsia-australis	787	Rickettsia australis	787	bacterium
788-Rickettsia-canadensis	788	Rickettsia canadensis	788	bacterium
813-Chlamydia-trachomatis	813	Chlamydia trachomatis	10001085, 10000765, 10000853, 10000769, 10000768, 272561, 10000845, 10001121, 759363, 672161, 10001008, 315277, 634464, 10000763, 10000767, 813, 10000858, 10000804, 10001141, 10000766, 10000764, 580047	bacterium
817-Bacteroides-fragilis	817	Bacteroides fragilis	817	bacterium
818-Bacteroides-thetaiotaomicron	818	Bacteroides thetaiotaomicron	818, 226186	bacterium
