Species Taxon ID	Species Name	Proteome ID	Proteome Taxon	Proteome Type	Source Count	Epitope Count	Successful Source Assignment	Successful Epitope Assignment
24	Shewanella putrefaciens	UP000008209	399804	Non-redundant	1	1	100.0	100.0
106	Runella slithyformis	UP000000493	761193	Representative	1	1	100.0	100.0
108	Spirosoma linguale	UP000002028	504472	Other	1	1	100.0	100.0
139	Borreliella burgdorferi	UP000001807	224326	Representative	72	873	98.6111111111111	88.2016036655212
158	Treponema denticola	UP000008212	243275	Representative	2	2	100.0	100.0
160	Treponema pallidum	UP000000811	243276	Representative	12	514	100.0	90.272373540856
162	Treponema phagedenis	UP000042527	162	Representative	1	1	100.0	100.0
173	Leptospira interrogans	UP000093180	211880	Representative	32	302	96.875	82.1192052980132
174	Leptospira borgpetersenii	UP000011783	1193007	Representative	4	9	75.0	22.2222222222222
188	Magnetospirillum magnetotacticum	UP000031971	272627	Other	5	5	100.0	80.0
195	Campylobacter coli	UP000255069	195	Non-redundant	4	4	100.0	100.0
196	Campylobacter fetus	UP000000760	360106	Representative	3	17	100.0	88.2352941176471
197	Campylobacter jejuni	UP000000799	192222	Representative	126	623	92.8571428571429	91.9743178170144
199	Campylobacter concisus	UP000066049	199	Non-redundant	10	10	100.0	40.0
200	Campylobacter curvus	UP000006380	360105	Representative	1	1	100.0	0.0
201	Campylobacter lari	UP000007727	306263	Non-redundant	1	1	100.0	100.0
210	Helicobacter pylori	UP000000429	85962	Representative	131	1261	99.236641221374	87.3116574147502
235	Brucella abortus	UP000002719	359391	Representative	315	348	99.047619047619	96.264367816092
236	Brucella ovis	UP000006383	444178	Non-redundant	11	11	100.0	100.0
263	Francisella tularensis	UP000001174	177416	Representative	863	2886	99.4206257242178	88.7733887733888
266	Paracoccus denitrificans	UP000000361	318586	Representative	3	5	100.0	100.0
271	Thermus aquaticus	UP000037685	271	Other	1	1	100.0	0.0
274	Thermus thermophilus	UP000000532	300852	Representative	3	3	100.0	100.0
280	Xanthobacter autotrophicus	UP000002417	78245	Representative	2	2	100.0	50.0
285	Comamonas testosteroni	UP000003039	399795	Non-redundant	1	1	100.0	100.0
287	Pseudomonas aeruginosa	UP000002438	208964	Representative	144	806	96.5277777777778	91.0669975186104
292	Burkholderia cepacia	UP000036338	292	Non-redundant	2	2	100.0	50.0
294	Pseudomonas fluorescens	UP000022611	1042209	Representative	7	16	100.0	6.25
298	Pseudomonas marginalis	UP000055023	1198317	Non-redundant	1	1	100.0	0.0
300	Pseudomonas mendocina	UP000254260	300	Non-redundant	3	3	100.0	66.6666666666667
303	Pseudomonas putida	UP000000556	160488	Representative	21	21	76.1904761904762	47.6190476190476
306	Pseudomonas sp.	UP000315499	306	Representative	1	1	0.0	0.0
312	Pseudomonas sp. RS-16		312	All-proteins	1	1	100.0	100.0
316	Stutzerimonas stutzeri	UP000000233	379731	Representative	4	4	100.0	25.0
329	Ralstonia pickettii	UP000013280	1264675	Non-redundant	1	1	100.0	0.0
346	Xanthomonas citri	UP000000576	190486	Non-redundant	1	1	100.0	100.0
354	Azotobacter vinelandii	UP000002424	322710	Non-redundant	4	5	100.0	100.0
358	Agrobacterium tumefaciens	UP000001600	311403	Non-redundant	2	2	100.0	0.0
382	Sinorhizobium meliloti	UP000001976	266834	Representative	4	4	100.0	75.0
384	Rhizobium leguminosarum	UP000002256	395491	Non-redundant	1	1	100.0	100.0
446	Legionella pneumophila	UP000000609	272624	Representative	3	15	100.0	100.0
450	Legionella longbeachae	UP000001060	661367	Non-redundant	1	1	100.0	100.0
470	Acinetobacter baumannii	UP000072389	470	Non-redundant	8	178	87.5	97.752808988764
480	Moraxella catarrhalis	UP000280228	480	Non-redundant	10	51	100.0	94.1176470588235
485	Neisseria gonorrhoeae	UP000000535	242231	Reference	28	242	100.0	90.0826446280992
487	Neisseria meningitidis	UP000000425	122586	Representative	44	190	100.0	75.2631578947369
502	Kingella denitrificans	UP000004088	888741	Representative	1	1	100.0	100.0
511	Alcaligenes faecalis	UP000245216	511	Non-redundant	2	2	100.0	50.0
520	Bordetella pertussis	UP000002676	257313	Representative	3362	25957	99.3753718024985	97.8772585429749
524	Acidiphilium cryptum	UP000000245	349163	Representative	2	2	100.0	50.0
539	Eikenella corrodens	UP000018554	1073362	Representative	16	16	93.75	62.5
548	Klebsiella aerogenes	UP000008881	1028307	Non-redundant	1	1	100.0	0.0
550	Enterobacter cloacae	UP000607214	550	Non-redundant	4	15	100.0	66.6666666666667
554	Pectobacterium carotovorum	UP000031378	555	Non-redundant	2	3	100.0	100.0
556	Dickeya chrysanthemi	UP000002735	561229	Other	1	1	100.0	100.0
562	Escherichia coli	UP000000625	83333	Representative	550	2207	88.1818181818182	28.0924331671953
573	Klebsiella pneumoniae	UP000007841	1125630	Representative	27	412	92.5925925925926	94.4174757281553
584	Proteus mirabilis	UP000008319	529507	Non-redundant	4	7	100.0	57.1428571428571
615	Serratia marcescens	UP000037482	615	Non-redundant	4	4	100.0	100.0
621	Shigella boydii	UP000001030	344609	Reference	24	28	100.0	82.1428571428571
622	Shigella dysenteriae	UP000002716	300267	Reference	9	13	100.0	92.3076923076923
623	Shigella flexneri	UP000001006	623	Reference	44	756	95.4545454545454	98.8095238095238
624	Shigella sonnei	UP000002529	300269	Reference	11	20	100.0	95.0
630	Yersinia enterocolitica	UP000000642	393305	Non-redundant	50	75	98.0	80.0
632	Yersinia pestis	UP000000815	632	Representative	438	759	98.6301369863014	95.9156785243742
633	Yersinia pseudotuberculosis	UP000001011	273123	Non-redundant	15	15	100.0	100.0
634	Yersinia bercovieri	UP000229378	634	Non-redundant	4	5	100.0	100.0
636	Edwardsiella tarda	UP000002230	718251	Non-redundant	1	1	100.0	100.0
644	Aeromonas hydrophila	UP000000756	380703	Representative	2	11	100.0	27.2727272727273
645	Aeromonas salmonicida	UP000000225	382245	Non-redundant	2	127	100.0	96.8503937007874
659	Photobacterium phosphoreum	UP000240683	659	Non-redundant	1	1	100.0	100.0
661	Photobacterium angustum	UP000001603	314292	Non-redundant	1	1	100.0	100.0
663	Vibrio alginolyticus	UP000565155	663	Non-redundant	5	5	100.0	100.0
666	Vibrio cholerae	UP000000584	243277	Representative	232	545	98.7068965517241	84.5871559633028
670	Vibrio parahaemolyticus	UP000002493	223926	Representative	173	177	100.0	100.0
671	Vibrio proteolyticus	UP000016570	1219065	Other	1	1	100.0	100.0
672	Vibrio vulnificus	UP000002275	216895	Non-redundant	240	245	99.1666666666667	87.3469387755102
674	Vibrio mimicus	UP000004827	671074	Non-redundant	1	2	100.0	100.0
703	Plesiomonas shigelloides	UP000014012	1315976	Representative	2	2	50.0	0.0
714	Aggregatibacter actinomycetemcomitans	UP000323961	714	Non-redundant	9	9	100.0	88.8888888888889
715	Actinobacillus pleuropneumoniae	UP000001432	416269	Representative	5	6	100.0	50.0
727	Haemophilus influenzae	UP000000579	71421	Representative	108	168	98.1481481481482	87.5
730	[Haemophilus] ducreyi	UP000001022	233412	Representative	1	1	100.0	100.0
731	Histophilus somni		731	All-proteins	2	2	100.0	100.0
738	Glaesserella parasuis	UP000006743	557723	Representative	4	4	100.0	100.0
