Species Taxon ID	Species Name	All Taxa	Is Vertebrate	Group
24	Shewanella putrefaciens	319224	FALSE	Bacteria
106	Runella slithyformis	761193, 106	FALSE	Bacteria
108	Spirosoma linguale	108	FALSE	Bacteria
139	Borreliella burgdorferi (Lyme disease spirochete)	521007, 10001091, 139, 445983, 10000675, 224326, 521009, 445985	FALSE	Bacteria
140	Borrelia hermsii	140	FALSE	Bacteria
158	Treponema denticola	158	FALSE	Bacteria
160	Treponema pallidum	10001021, 243276, 160	FALSE	Bacteria
162	Treponema phagedenis	754027	FALSE	Bacteria
173	Leptospira interrogans	44275, 173, 57678, 1279460, 44276, 211882, 10000814, 267671, 189518	FALSE	Bacteria
174	Leptospira borgpetersenii	280504, 338220	FALSE	Bacteria
188	Magnetospirillum magnetotacticum	272627	FALSE	Bacteria
195	Campylobacter coli	195, 306254	FALSE	Bacteria
196	Campylobacter fetus	32019	FALSE	Bacteria
197	Campylobacter jejuni	482628, 360112, 398000, 354242, 407148, 32022, 10002003, 197, 195099, 10000679, 192222, 567106	FALSE	Bacteria
199	Campylobacter concisus	199	FALSE	Bacteria
200	Campylobacter curvus	200	FALSE	Bacteria
201	Campylobacter lari	306263	FALSE	Bacteria
203	Campylobacter rectus	203	FALSE	Bacteria
210	Helicobacter pylori	1352357, 102617, 10001667, 1337393, 992121, 10001794, 10000720, 10000718, 637383, 102618, 85963, 85962, 210, 290847, 563041, 866344, 10000721	FALSE	Bacteria
235	Brucella abortus (Brucella melitensis bv. Abortus)	262698, 359391, 430066, 520450, 641140, 575591, 235, 10001424	FALSE	Bacteria
236	Brucella ovis (Brucella melitensis bv. Ovis)	10001886, 10001888, 444178, 236, 10001887	FALSE	Bacteria
263	Francisella tularensis	263, 351581, 119856, 376619, 430557, 458234, 393115, 393011, 177416, 418136	FALSE	Bacteria
266	Paracoccus denitrificans	266, 318586	FALSE	Bacteria
271	Thermus aquaticus	271	FALSE	Bacteria
274	Thermus thermophilus	262724, 274, 300852	FALSE	Bacteria
280	Xanthobacter autotrophicus	280, 78245	FALSE	Bacteria
